0,1,2,3,4,5,6,7,8
49378.0,49377.0,49376.0,49375.0,49372.0,49374.0,49373.0,49372.0,49371.0
66062.0,66061.0,66060.0,66059.0,66057.0,66058.0,66057.0,66056.0,66055.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38749.0,38748.0,38747.0,38746.0,38744.0,38745.0,38744.0,38743.0,38744.0
52059.0,52058.0,52057.0,52056.0,52059.0,52055.0,52054.0,52053.0,52031.0
5168.0,5167.0,5166.0,5165.0,5165.0,5164.0,5162.0,5161.0,5161.0
11518.0,11517.0,11516.0,11515.0,11505.0,11514.0,11513.0,11512.0,11491.0
39156.0,39155.0,39154.0,39153.0,39150.0,39152.0,39151.0,39150.0,39150.0
53652.0,53651.0,53650.0,53649.0,53677.0,53648.0,53647.0,53646.0,53657.0
5292.0,5291.0,5290.0,5289.0,5288.0,5288.0,5287.0,5286.0,5285.0
11962.0,11961.0,11960.0,11959.0,11948.0,11958.0,11957.0,11956.0,11927.0
38666.0,38665.0,38664.0,38663.0,38655.0,38662.0,38661.0,38660.0,38658.0
51915.0,51914.0,51913.0,51912.0,51921.0,51911.0,51910.0,51909.0,51922.0
5179.0,5178.0,5177.0,5176.0,5162.0,5168.0,5167.0,5162.0,5162.0
11699.0,11698.0,11697.0,11696.0,11672.0,11695.0,11694.0,11693.0,11658.0
39014.0,39013.0,39012.0,39011.0,39018.0,39010.0,39009.0,39008.0,39008.0
53263.0,53262.0,53261.0,53260.0,53268.0,53259.0,53258.0,53257.0,53278.0
5234.0,5233.0,5232.0,5223.0,5217.0,5222.0,5221.0,5220.0,5216.0
11804.0,11803.0,11802.0,11801.0,11810.0,11800.0,11799.0,11798.0,11783.0
39106.0,39105.0,39104.0,39103.0,39100.0,39102.0,39101.0,39100.0,39100.0
51838.0,51837.0,51836.0,51835.0,51839.0,51834.0,51833.0,51832.0,51831.0
5172.0,5171.0,5170.0,5169.0,5168.0,5168.0,5167.0,5166.0,5166.0
11512.0,11511.0,11510.0,11509.0,11485.0,11508.0,11507.0,11506.0,11469.0
32980.0,32979.0,32978.0,32977.0,32974.0,32976.0,32975.0,32974.0,32973.0
23830.0,23829.0,23828.0,23827.0,23826.0,23826.0,23825.0,23824.0,23823.0
16401.0,16400.0,16399.0,16398.0,16396.0,16397.0,16396.0,16395.0,16394.0
34606.0,34605.0,34604.0,34603.0,34602.0,34602.0,34601.0,34600.0,34599.0
33751.0,33750.0,33749.0,33748.0,33745.0,33747.0,33746.0,33745.0,33744.0
25381.0,25380.0,25379.0,25378.0,25371.0,25377.0,25376.0,25375.0,25374.0
17109.0,17108.0,17107.0,17106.0,17095.0,17096.0,17095.0,17094.0,17093.0
37705.0,37704.0,37703.0,37702.0,37702.0,37701.0,37700.0,37699.0,37698.0
32733.0,32732.0,32731.0,32730.0,32727.0,32729.0,32728.0,32727.0,32726.0
23259.0,23258.0,23257.0,23256.0,23255.0,23255.0,23254.0,23253.0,23252.0
16306.0,16305.0,16304.0,16303.0,16300.0,16302.0,16301.0,16300.0,16299.0
35410.0,35409.0,35408.0,35407.0,35406.0,35406.0,35405.0,35404.0,35403.0
32500.0,32499.0,32498.0,32497.0,32494.0,32496.0,32495.0,32494.0,32493.0
23261.0,23260.0,23259.0,23258.0,23259.0,23257.0,23256.0,23255.0,23254.0
16547.0,16546.0,16545.0,16544.0,16541.0,16543.0,16542.0,16541.0,16540.0
36004.0,36003.0,36002.0,36001.0,36000.0,36000.0,35999.0,35998.0,35997.0
32209.0,32208.0,32207.0,32206.0,32199.0,32205.0,32204.0,32203.0,32202.0
22897.0,22896.0,22895.0,22894.0,22897.0,22893.0,22892.0,22891.0,22890.0
16277.0,16276.0,16275.0,16274.0,16275.0,16273.0,16272.0,16271.0,16270.0
34639.0,34638.0,34637.0,34636.0,34635.0,34635.0,34634.0,34633.0,34632.0
33058.0,33057.0,33056.0,33055.0,33051.0,33054.0,33053.0,33052.0,33051.0
18999.0,18998.0,18997.0,18996.0,18993.0,18995.0,18994.0,18993.0,18992.0
19238.0,19237.0,19236.0,19235.0,19227.0,19234.0,19233.0,19232.0,19231.0
40563.0,40562.0,40561.0,40560.0,40557.0,40559.0,40558.0,40557.0,40556.0
33846.0,33845.0,33844.0,33843.0,33840.0,33842.0,33841.0,33840.0,33839.0
20038.0,20037.0,20036.0,20035.0,20032.0,20034.0,20033.0,20032.0,20031.0
19352.0,19351.0,19350.0,19349.0,19346.0,19348.0,19347.0,19346.0,19345.0
41456.0,41455.0,41454.0,41453.0,41450.0,41452.0,41451.0,41450.0,41449.0
33797.0,33796.0,33795.0,33794.0,33790.0,33793.0,33792.0,33791.0,33790.0
19300.0,19299.0,19298.0,19297.0,19294.0,19296.0,19295.0,19294.0,19293.0
18871.0,18870.0,18869.0,18868.0,18865.0,18867.0,18866.0,18865.0,18864.0
39683.0,39682.0,39681.0,39680.0,39677.0,39679.0,39678.0,39677.0,39676.0
33436.0,33435.0,33434.0,33433.0,33428.0,33432.0,33431.0,33430.0,33429.0
19179.0,19178.0,19177.0,19176.0,19173.0,19175.0,19174.0,19173.0,19172.0
18617.0,18616.0,18615.0,18614.0,18612.0,18613.0,18612.0,18611.0,18610.0
38815.0,38814.0,38813.0,38812.0,38809.0,38811.0,38810.0,38809.0,38808.0
34120.0,34119.0,34118.0,34117.0,34114.0,34116.0,34115.0,34114.0,34113.0
19511.0,19510.0,19509.0,19508.0,19505.0,19507.0,19506.0,19505.0,19504.0
18810.0,18809.0,18808.0,18807.0,18806.0,18806.0,18805.0,18804.0,18803.0
40192.0,40191.0,40190.0,40189.0,40186.0,40188.0,40187.0,40186.0,40185.0
