0,1,2,3,4,5,6,7,8
1289.0,69.0,65.0,59.0,38.0,50.0,53.0,50.0,50.0
255.0,13.0,8.0,8.0,14.0,9.0,13.0,10.0,10.0
3.0,1.0,2.0,3.0,34.0,4.0,6.0,3.0,2.0
8.0,10.0,7.0,6.0,73.0,5.0,6.0,5.0,6.0
642.0,26.0,43.0,33.0,38.0,35.0,37.0,27.0,33.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5.0,21.0,7.0,21.0,6.0,3.0,4.0,7.0
8.0,11.0,35.0,5.0,26.0,8.0,9.0,5.0,5.0
430.0,14.0,17.0,28.0,20.0,19.0,13.0,21.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.0,3.0,3.0,4.0,3.0,1.0,40.0,3.0
13.0,15.0,14.0,16.0,10.0,12.0,19.0,249.0,6.0
530.0,26.0,29.0,32.0,23.0,26.0,25.0,27.0,43.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.0,27.0,4.0,2.0,4.0,1.0,6.0,1.0
9.0,8.0,72.0,11.0,8.0,11.0,4.0,5.0,6.0
615.0,34.0,34.0,26.0,32.0,32.0,22.0,24.0,27.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,19.0,3.0,3.0,19.0,3.0,3.0,4.0,5.0
6.0,20.0,8.0,4.0,20.0,6.0,6.0,6.0,7.0
1403.0,57.0,60.0,54.0,55.0,59.0,59.0,53.0,64.0
271.0,14.0,10.0,19.0,11.0,8.0,7.0,11.0,7.0
3.0,3.0,2.0,1.0,42.0,4.0,3.0,2.0,4.0
4.0,8.0,8.0,5.0,82.0,10.0,8.0,5.0,6.0
505.0,22.0,23.0,23.0,18.0,23.0,29.0,22.0,26.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,30.0,2.0,2.0,4.0,5.0,6.0,4.0,2.0
4.0,76.0,7.0,6.0,6.0,7.0,6.0,3.0,8.0
709.0,37.0,20.0,34.0,29.0,25.0,38.0,43.0,35.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2.0,3.0,3.0,2.0,3.0,2.0,33.0,4.0
18.0,14.0,13.0,16.0,19.0,16.0,9.0,273.0,19.0
