0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
4.0,2.0,2.0,3.0,4.0,7.0,26.0,6.0,4.0,2.0,4.0,3.0,3.0,5.0,2.0,25.0,2.0,3.0,5.0,3.0,4.0,4.0,2.0,4.0,25.0,2.0,2.0,4.0,3.0,1.0,3.0,2.0,3.0,25.0,2.0,3.0,2.0,2.0,3.0,5.0,3.0,2.0,25.0,2.0,4.0,2.0,4.0,1.0,3.0,5.0,4.0,25.0,2.0,5.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,24.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,25.0,4.0,2.0,2.0,3.0,5.0,3.0,2.0,3.0,1.0,3.0,4.0
6.0,5.0,10.0,8.0,6.0,7.0,115.0,8.0,6.0,5.0,7.0,4.0,6.0,8.0,9.0,75.0,5.0,8.0,8.0,8.0,6.0,6.0,5.0,7.0,75.0,6.0,5.0,5.0,8.0,6.0,8.0,9.0,6.0,76.0,8.0,5.0,8.0,5.0,7.0,7.0,7.0,8.0,75.0,7.0,5.0,7.0,6.0,5.0,6.0,4.0,4.0,74.0,6.0,7.0,5.0,4.0,10.0,4.0,7.0,5.0,4.0,49.0,6.0,9.0,6.0,6.0,8.0,6.0,4.0,74.0,4.0,6.0,7.0,6.0,6.0,7.0,6.0,4.0,11.0,5.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,2.0,3.0,3.0,5.0,19.0,2.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,19.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,19.0,3.0,2.0,2.0,2.0,1.0,3.0,4.0,2.0,19.0,5.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,19.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,3.0,19.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,5.0,17.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,18.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0
3900.0,16.0,22.0,24.0,23.0,27.0,13.0,21.0,17.0,19.0,22.0,31.0,20.0,18.0,25.0,20.0,14.0,18.0,19.0,24.0,24.0,20.0,14.0,31.0,22.0,11.0,22.0,25.0,25.0,28.0,21.0,21.0,15.0,9.0,22.0,26.0,18.0,24.0,23.0,22.0,17.0,16.0,17.0,29.0,14.0,15.0,27.0,16.0,16.0,26.0,14.0,28.0,27.0,22.0,19.0,22.0,13.0,20.0,17.0,24.0,19.0,16.0,28.0,20.0,14.0,14.0,19.0,18.0,22.0,21.0,13.0,25.0,21.0,21.0,20.0,17.0,19.0,22.0,26.0,23.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,23.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,23.0,2.0,3.0,4.0,5.0,3.0,3.0,5.0,2.0,22.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,22.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,23.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,23.0,4.0,3.0,2.0,4.0,3.0,4.0,5.0,5.0,2.0,22.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,23.0,2.0,3.0,2.0,3.0,3.0,5.0,4.0,6.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0
6.0,3.0,43.0,4.0,4.0,7.0,6.0,5.0,6.0,7.0,5.0,44.0,3.0,5.0,6.0,4.0,4.0,6.0,6.0,8.0,43.0,3.0,8.0,4.0,9.0,6.0,6.0,3.0,5.0,43.0,6.0,7.0,6.0,4.0,3.0,4.0,4.0,5.0,42.0,5.0,5.0,7.0,4.0,6.0,4.0,7.0,6.0,42.0,3.0,7.0,4.0,4.0,6.0,6.0,10.0,9.0,4.0,21.0,7.0,7.0,7.0,7.0,7.0,5.0,4.0,42.0,5.0,3.0,5.0,5.0,6.0,5.0,7.0,3.0,4.0,6.0,4.0,5.0,6.0,6.0,5.0
