time_steps,avg_cost,max_avg_cost,min_avg_cost,qval_rmse
15800000.0,57.3328,96.91,32.47,
15900000.0,52.64,92.56,32.34,
16000000.0,54.7005,95.1,16.64,
16100000.0,52.2214,101.18,26.93,
16200000.0,57.0007,102.46,26.33,
16300000.0,56.7383,104.67,30.52,
16400000.0,54.868,90.17,15.65,
16500000.0,50.8446,74.73,32.55,
16600000.0,51.637,99.14,27.26,
16700000.0,53.5291,90.68,32.05,
16800000.0,54.3919,91.04,32.75,
16900000.0,52.3184,81.41,33.04,
17000000.0,54.6219,94.01,30.14,
17100000.0,53.7113,89.12,24.1,
17200000.0,52.9836,98.41,27.38,
17300000.0,50.6207,98.14,24.98,
17400000.0,50.5819,68.24,28.1,
17500000.0,55.0338,95.89,28.07,
17600000.0,52.0485,97.83,27.68,
17700000.0,50.6565,91.99,28.1,
17800000.0,53.6033,87.5,28.89,
17900000.0,48.2311,98.01,10.52,
18000000.0,56.2962,100.19,29.4,
18100000.0,49.1773,88.79,24.21,
18200000.0,55.3338,101.97,31.73,
18300000.0,47.8108,82.69,30.71,
18400000.0,51.2058,69.61,32.05,
18500000.0,54.3942,101.88,33.15,
18600000.0,56.3544,99.8,11.62,
18700000.0,52.0029,98.62,27.17,
18800000.0,53.2226,86.95,35.03,
18900000.0,53.2233,104.38,25.58,
19000000.0,56.0308,102.02,22.32,
19100000.0,50.79600000000001,85.92,31.05,
19200000.0,50.411,76.43,28.64,
19300000.0,53.2883,97.2,29.43,
19400000.0,53.4222,97.96,23.15,
19500000.0,58.63399999999999,102.16,30.93,
19600000.0,57.199,101.44,29.57,
19700000.0,49.9666,73.3,24.26,
19800000.0,50.5775,70.08,31.83,
19900000.0,52.9294,93.04,26.3,
20000000.0,50.5731,72.09,21.28,
20100000.0,52.0441,78.99,21.92,
20200000.0,51.4889,77.28,30.76,
20300000.0,50.1063,82.62,26.58,
20400000.0,51.9612,71.02,32.84,
20500000.0,50.1808,82.39,28.17,
20600000.0,49.4927,84.34,31.35,
20700000.0,53.5917,97.12,28.17,
20800000.0,49.0889,74.86,22.42,
20900000.0,48.6672,67.69,22.9,
21000000.0,52.3372,101.71,27.6,
21100000.0,52.1447,94.09,21.67,
21200000.0,50.7461,99.94,15.4,
21300000.0,52.3899,88.69,34.82,
21400000.0,48.6934,70.37,31.08,
21500000.0,51.7682,94.09,29.41,
21600000.0,49.4464,77.53,28.46,
21700000.0,55.085,104.09,22.33,
21800000.0,50.3596,86.89,14.74,
21900000.0,48.9542,88.58,20.23,
22000000.0,47.8522,75.55,25.49,
22100000.0,49.0932,90.95,25.95,
22200000.0,46.1357,86.97,24.43,
22300000.0,50.7643,97.34,24.2,
22400000.0,56.0919,102.58,25.8,
22500000.0,53.588,103.99,13.22,
22600000.0,47.2963,89.66,16.03,
22700000.0,46.7049,69.67,25.68,
22800000.0,58.2688,103.27,18.43,
22900000.0,48.5763,88.54,13.07,
23000000.0,46.5598,85.45,20.24,
23100000.0,44.4605,76.63,22.99,
23200000.0,45.5604,78.64,27.31,
23300000.0,46.8691,73.8,23.14,
