time_steps,avg_cost
110000,0.81023
220000,0.7729600000000001
330000,0.7852100000000001
440000,0.77705
550000,0.77785
660000,0.77346
770000,0.77368
880000,0.7854800000000001
990000,0.79603
1100000,0.80179
