0,1,2,3,4,5,6,7,8
76.0,,76.0,,75.0,,75.0,,
309.0,,309.0,,309.0,,308.0,,
3.0,,3.0,,3.0,,3.0,,
84.0,,83.0,,83.0,,83.0,,
381.0,,381.0,,380.0,,,,380.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,,100.0,,99.0,,,,99.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,,62.0,,61.0,,61.0,,61.0
244.0,,243.0,,243.0,,243.0,,243.0
5.0,,5.0,,5.0,,4.0,,4.0
145.0,,144.0,,144.0,,144.0,,144.0
74.0,,74.0,,74.0,,73.0,,
3.0,,2.0,,2.0,,2.0,,
313.0,,313.0,,313.0,,312.0,,
85.0,,85.0,,85.0,,85.0,,
42.0,,42.0,,42.0,42.0,42.0,42.0,42.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368.0,,368.0,,367.0,367.0,367.0,367.0,367.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,,37.0,,37.0,37.0,37.0,37.0,37.0
7.0,,7.0,,7.0,7.0,6.0,6.0,6.0
9.0,,9.0,,9.0,9.0,9.0,9.0,9.0
357.0,,357.0,,356.0,356.0,356.0,356.0,356.0
358.0,,358.0,,358.0,,,,358.0
99.0,,99.0,,99.0,,,,98.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,,44.0,,44.0,43.0,43.0,43.0,43.0
370.0,,370.0,,370.0,370.0,370.0,370.0,370.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,,54.0,,54.0,54.0,54.0,54.0,53.0
427.0,,426.0,,426.0,426.0,426.0,426.0,426.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,,61.0,,61.0,,61.0,,61.0
5.0,,5.0,,4.0,,4.0,,4.0
243.0,,243.0,,243.0,,243.0,,242.0
154.0,,154.0,,154.0,,153.0,,153.0
40.0,,39.0,,39.0,39.0,39.0,39.0,39.0
7.0,,7.0,,6.0,6.0,6.0,6.0,6.0
11.0,,10.0,,10.0,10.0,10.0,10.0,10.0
376.0,,376.0,,375.0,375.0,375.0,375.0,375.0
48.0,,48.0,,48.0,48.0,48.0,47.0,47.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426.0,,425.0,,425.0,425.0,425.0,425.0,425.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.0,,80.0,80.0,,,80.0,,
401.0,,401.0,400.0,,,400.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439.0,,439.0,439.0,,438.0,438.0,438.0,438.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,,47.0,47.0,,47.0,47.0,46.0,46.0
376.0,,376.0,376.0,,375.0,375.0,375.0,375.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,,73.0,73.0,,,73.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397.0,,397.0,397.0,,,396.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,,72.0,72.0,,,72.0,71.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379.0,,379.0,378.0,,,378.0,378.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,,65.0,65.0,,,,65.0,
23.0,,23.0,23.0,,,,22.0,
11.0,,11.0,11.0,,,,10.0,
357.0,,357.0,356.0,,,,356.0,
406.0,,406.0,406.0,,405.0,405.0,405.0,405.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,,71.0,71.0,,,71.0,71.0,
383.0,,383.0,383.0,,,382.0,382.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
